Legacy class name	Default ns class name	New ns class name	Notes
Ac_I_ModelAssociation	\Avancore\I\ModelAssociation	\Avancore\Interface\ModelAssociationInterface	
Ac_I_NamedApplicationComponent	\Avancore\I\NamedApplicationComponent	\Avancore\Interface\NamedApplicationComponentInterface	
Ac_I_ObjectsCollection	\Avancore\I\ObjectsCollection	\Avancore\Interface\ObjectsCollectionInterface	
Ac_I_Param	\Avancore\I\Param	\Avancore\Interface\ParamInterface	
Ac_I_Param_Source	\Avancore\I\Param\Source	\Avancore\Interface\ParamSourceInterface	
Ac_I_PhpExpression	\Avancore\I\PhpExpression	\Avancore\Interface\PhpExpressionInterface	
Ac_I_PhpExpression_Extended	\Avancore\I\PhpExpression\Extended	\Avancore\Interface\ExtendedPhpExpressionInterface	
Ac_I_Prototyped	\Avancore\I\Prototyped	\Avancore\Interface\PrototypedInterface	
Ac_I_RedirectTarget	\Avancore\I\RedirectTarget	\Avancore\Interface\RedirectTargetInterface	
Ac_I_Search_Criterion_Bulk	\Avancore\I\Search\Criterion\Bulk	\Avancore\Interface\BulkSearchCriterionInterface	
Ac_I_Search_Criterion_ExtendedSort	\Avancore\I\Search\Criterion\ExtendedSort	\Avancore\Interface\ExtendedSearchCriterionInterface	
Ac_I_Search_Criterion_Search	\Avancore\I\Search\Criterion\Search	\Avancore\Interface\SearchCriterionInterface	
Ac_I_Search_Criterion_Sort	\Avancore\I\Search\Criterion\Sort	\Avancore\Interface\SortSearchCriterionInterface	
Ac_I_Search_FilterProvider	\Avancore\I\Search\FilterProvider	\Avancore\Interface\SearchFilterProviderInterface	
Ac_I_Search_RecordProvider	\Avancore\I\Search\RecordProvider	\Avancore\Interface\SearchRecordProviderInterface	
Ac_I_Sql_Expression	\Avancore\I\Sql\Expression	\Avancore\Interface\SqlExpressionInterface	
Ac_I_Tree_Mapper	\Avancore\I\Tree\Mapper	\Avancore\Interface\TreeMapperInterface	
Ac_I_Tree_Mapper_AdjacencyList	\Avancore\I\Tree\Mapper\AdjacencyList	\Avancore\Interface\AdjacencyListTreeMapperInterface	
Ac_I_Tree_Mapper_Combo	\Avancore\I\Tree\Mapper\Combo	\Avancore\Interface\ComboTreeMapperInterface	
Ac_I_Tree_Mapper_NestedSets	\Avancore\I\Tree\Mapper\NestedSets	\Avancore\Interface\NestedSetsTreeMapperInterface	
Ac_I_Tree_Node	\Avancore\I\Tree\Node	\Avancore\Interface\TreeNodeInterface	
Ac_I_Tree_Provider	\Avancore\I\Tree\Provider	\Avancore\Interface\TreeProviderInterface	
Ac_I_User	\Avancore\I\User	\Avancore\Interface\UserInterface	
Ac_I_UserProvider	\Avancore\I\UserProvider	\Avancore\Interface\UserProviderInterface	
Ac_I_WithCleanup	\Avancore\I\WithCleanup	\Avancore\Interface\WithCleanupInterface	
Ac_I_WithEvents	\Avancore\I\WithEvents	\Avancore\Interface\WithEventsInterface	
Ac_I_WithMapper	\Avancore\I\WithMapper	\Avancore\Interface\WithMapperInterface	
Ac_I_WithMethods	\Avancore\I\WithMethods	\Avancore\Interface\WithMethodsInterface	
Ac_I_WithSqlSelectPrototype	\Avancore\I\WithSqlSelectPrototype	\Avancore\Interface\WithSqlSelectPrototypeInterface	
Ac_Impl_ArraySerializer	\Avancore\Impl\ArraySerializer	\Avancore\Util\ArraySerializer	
Ac_Impl_Cleanup	\Avancore\Impl\Cleanup	\Avancore\Util\Cleanup	
Ac_Js	\Avancore\Js	\Avancore\Js\Js	
Ac_Js_Call	\Avancore\Js\Call		
Ac_Js_Code	\Avancore\Js\Code		
Ac_Js_Hash	\Avancore\Js\Hash		
Ac_Js_New	\Avancore\Js\New	\Avancore\Js\NewOperator	
Ac_Js_Object	\Avancore\Js\Object	\Avancore\Js\Object\Object	
Ac_Js_Object_Assign	\Avancore\Js\Object\Assign		
Ac_Js_Object_Init	\Avancore\Js\Object\Init		
Ac_Js_Object_Ref	\Avancore\Js\Object\Ref		
Ac_Js_Script	\Avancore\Js\Script		
Ac_Js_String	\Avancore\Js\String		
Ac_Js_Val	\Avancore\Js\Val		
